timestamp,open,high,low,close,volume
2025-11-30 00:00:00+00:00,34.33,34.56,31.86,31.93,929356.89
2025-12-01 00:00:00+00:00,31.93,32.06,29.18,31.0,1989650.869
2025-12-02 00:00:00+00:00,31.0,34.39,30.35,33.84,2234308.184
2025-12-03 00:00:00+00:00,33.84,35.39,33.36,34.66,1604761.908
2025-12-04 00:00:00+00:00,34.66,36.16,33.08,33.53,1731158.024
2025-12-05 00:00:00+00:00,33.53,33.9,30.48,30.98,1653905.74
2025-12-06 00:00:00+00:00,30.98,31.47,30.58,30.97,708444.796
2025-12-07 00:00:00+00:00,30.97,31.23,28.15,29.73,1824062.249
2025-12-08 00:00:00+00:00,29.73,30.96,28.67,29.49,1840625.401
2025-12-09 00:00:00+00:00,29.49,29.53,27.44,27.91,2129686.214
2025-12-10 00:00:00+00:00,27.91,29.97,27.63,28.83,1652950.947
2025-12-11 00:00:00+00:00,28.83,29.22,26.88,29.13,1998973.348
2025-12-12 00:00:00+00:00,29.13,30.25,28.32,28.6,2082090.929
2025-12-13 00:00:00+00:00,28.6,29.73,27.91,29.58,776988.079
2025-12-14 00:00:00+00:00,29.58,29.89,28.32,28.82,1277780.329
2025-12-15 00:00:00+00:00,28.82,29.58,27.16,27.61,2118664.531
2025-12-16 00:00:00+00:00,27.61,27.67,26.04,26.8,1681990.312
2025-12-17 00:00:00+00:00,26.8,28.32,24.2,24.49,3089585.752
2025-12-18 00:00:00+00:00,24.49,25.27,22.43,22.47,2961428.867
2025-12-19 00:00:00+00:00,22.47,25.13,22.2,24.89,2433826.622
2025-12-20 00:00:00+00:00,24.89,25.53,23.81,24.01,958401.751
2025-12-21 00:00:00+00:00,24.01,24.85,23.58,24.84,965506.696
2025-12-22 00:00:00+00:00,24.84,25.7,24.41,24.88,1539466.028
2025-12-23 00:00:00+00:00,24.88,25.01,23.67,23.98,1062761.692
2025-12-24 00:00:00+00:00,23.98,25.25,23.62,25.17,1297287.033
2025-12-25 00:00:00+00:00,25.17,25.22,24.2,24.4,776700.338
2025-12-26 00:00:00+00:00,24.4,25.86,24.36,25.79,786047.657
2025-12-27 00:00:00+00:00,25.79,26.44,25.4,25.96,526706.718
2025-12-28 00:00:00+00:00,25.96,26.33,24.82,25.36,630010.771
2025-12-29 00:00:00+00:00,25.36,26.44,25.26,25.8,1051532.68
2025-12-30 00:00:00+00:00,25.8,26.71,25.38,25.97,1289587.429
2025-12-31 00:00:00+00:00,25.97,26.25,25.31,25.45,944675.883
2026-01-01 00:00:00+00:00,25.45,26.1,23.75,24.25,1153116.83
2026-01-02 00:00:00+00:00,24.25,25.03,24.09,24.61,1191239.73
2026-01-03 00:00:00+00:00,24.61,25.44,24.29,25.38,786278.161
2026-01-04 00:00:00+00:00,25.38,26.89,24.86,26.88,1099957.16
2026-01-05 00:00:00+00:00,26.88,27.49,25.8,26.51,1775630.827
2026-01-06 00:00:00+00:00,26.51,28.39,26.11,28.25,1972926.283
2026-01-07 00:00:00+00:00,28.25,28.39,26.49,26.89,1350809.504
2026-01-08 00:00:00+00:00,26.89,27.09,25.6,25.7,1170955.483
2026-01-09 00:00:00+00:00,25.7,26.22,24.97,25.1,1239327.351
2026-01-10 00:00:00+00:00,25.1,25.11,23.8,24.06,764998.398
2026-01-11 00:00:00+00:00,24.06,24.68,24.01,24.45,650208.683
2026-01-12 00:00:00+00:00,24.45,25.42,23.13,23.78,1502299.147
2026-01-13 00:00:00+00:00,23.78,25.86,23.76,25.76,1410223.561
2026-01-14 00:00:00+00:00,25.76,26.88,25.62,25.98,1381893.232
2026-01-15 00:00:00+00:00,25.98,26.1,24.35,24.74,1358849.666
2026-01-16 00:00:00+00:00,24.74,25.24,24.51,25.0,760202.269
2026-01-17 00:00:00+00:00,25.0,25.83,24.76,25.43,425650.549
2026-01-18 00:00:00+00:00,25.43,26.13,24.39,24.48,640057.828
2026-01-19 00:00:00+00:00,24.48,24.49,22.86,23.73,1357536.958
2026-01-20 00:00:00+00:00,23.73,23.86,20.82,20.99,2005286.427
2026-01-21 00:00:00+00:00,20.99,22.09,20.48,21.54,1817321.264
2026-01-22 00:00:00+00:00,21.54,22.23,21.13,21.46,1364083.69
2026-01-23 00:00:00+00:00,21.46,23.08,20.84,22.66,1842471.57
2026-01-24 00:00:00+00:00,22.66,23.76,22.6,23.22,963921.868
2026-01-25 00:00:00+00:00,23.22,23.43,21.65,22.21,1306957.596
2026-01-26 00:00:00+00:00,22.21,25.33,21.84,24.94,2293503.979
2026-01-27 00:00:00+00:00,24.94,31.03,24.91,30.85,4580386.011
2026-01-28 00:00:00+00:00,30.85,34.87,30.78,34.47,3995590.75
2026-01-29 00:00:00+00:00,34.47,34.58,30.41,30.81,3356748.498
2026-01-30 00:00:00+00:00,30.81,32.93,28.19,30.64,3766299.89
2026-01-31 00:00:00+00:00,30.64,32.14,27.41,31.01,3206615.926
2026-02-01 00:00:00+00:00,31.01,32.57,28.48,30.59,2960944.929
2026-02-02 00:00:00+00:00,30.59,33.99,29.53,33.29,4628551.492
2026-02-03 00:00:00+00:00,33.29,38.42,32.29,32.72,4850226.616
2026-02-04 00:00:00+00:00,32.72,36.3,32.4,35.53,2973570.966
2026-02-05 00:00:00+00:00,35.53,35.54,31.07,33.09,4260876.734
2026-02-06 00:00:00+00:00,33.09,36.85,31.38,32.4,3429704.279
2026-02-07 00:00:00+00:00,32.4,33.86,31.02,31.42,1589562.437
2026-02-08 00:00:00+00:00,31.42,33.03,30.51,32.46,1294189.69
2026-02-09 00:00:00+00:00,32.46,33.53,30.92,31.35,1273146.459
2026-02-10 00:00:00+00:00,31.35,31.56,28.78,28.85,1092918.71
2026-02-11 00:00:00+00:00,28.85,30.21,28.32,29.4,1626775.449
2026-02-12 00:00:00+00:00,29.4,31.84,29.3,31.1,1440383.39
2026-02-13 00:00:00+00:00,31.1,32.34,30.01,31.59,1235858.093
2026-02-14 00:00:00+00:00,31.59,32.32,30.71,31.86,775926.149
2026-02-15 00:00:00+00:00,31.86,32.02,30.3,30.72,753015.975
2026-02-16 00:00:00+00:00,30.72,31.25,29.57,31.25,945033.329
2026-02-17 00:00:00+00:00,31.25,31.4,29.04,29.5,972038.999
2026-02-18 00:00:00+00:00,29.5,29.78,28.25,28.69,1023936.564
2026-02-19 00:00:00+00:00,28.69,29.4,27.74,29.02,865771.419
2026-02-20 00:00:00+00:00,29.02,30.43,28.63,30.36,1056905.226
2026-02-21 00:00:00+00:00,30.36,30.56,29.55,29.75,307074.302
2026-02-22 00:00:00+00:00,29.75,29.95,28.71,29.03,239649.377
2026-02-23 00:00:00+00:00,29.03,29.05,25.64,26.39,1328586.05
2026-02-24 00:00:00+00:00,26.39,27.45,25.63,27.1,836658.047
2026-02-25 00:00:00+00:00,27.1,29.06,26.76,27.9,1207043.007
2026-02-26 00:00:00+00:00,27.9,29.43,27.73,28.13,1360886.717
2026-02-27 00:00:00+00:00,28.13,29.94,26.76,27.31,1110595.046
2026-02-28 00:00:00+00:00,27.31,31.38,26.11,31.2,1632964.187
2026-03-01 00:00:00+00:00,31.2,32.32,30.17,31.56,1204103.544
2026-03-02 00:00:00+00:00,31.56,33.71,29.97,32.83,1369085.287
2026-03-03 00:00:00+00:00,32.83,33.57,30.82,31.3,1206918.801
2026-03-04 00:00:00+00:00,31.3,33.22,30.75,32.16,1223308.09
2026-03-05 00:00:00+00:00,32.16,32.28,30.25,30.54,739940.325
2026-03-06 00:00:00+00:00,30.54,31.31,29.44,31.02,793982.326
2026-03-07 00:00:00+00:00,31.02,31.1,29.81,30.3,430393.875
2026-03-08 00:00:00+00:00,30.3,31.23,29.68,30.71,610525.214
2026-03-09 00:00:00+00:00,30.71,35.37,30.26,34.69,1943095.518
2026-03-10 00:00:00+00:00,34.69,35.19,33.49,34.18,1031418.096
2026-03-11 00:00:00+00:00,34.18,37.0,34.09,36.24,1427548.727
2026-03-12 00:00:00+00:00,36.24,38.03,35.8,37.29,1190181.424
2026-03-13 00:00:00+00:00,37.29,38.56,35.98,36.46,1795640.006
2026-03-14 00:00:00+00:00,36.46,38.86,36.37,37.83,676719.955
2026-03-15 00:00:00+00:00,37.83,38.26,36.77,37.27,497941.17
2026-03-16 00:00:00+00:00,37.27,41.44,37.24,40.79,1398170.054
2026-03-17 00:00:00+00:00,40.79,42.14,39.64,41.17,1010275.038
2026-03-18 00:00:00+00:00,41.17,43.77,40.19,42.11,1389689.377
2026-03-19 00:00:00+00:00,42.11,42.24,38.63,39.34,1071635.719
2026-03-20 00:00:00+00:00,39.34,40.76,38.39,39.54,913384.901
2026-03-21 00:00:00+00:00,39.54,40.46,38.93,39.16,289751.455
2026-03-22 00:00:00+00:00,39.16,39.53,37.47,38.36,846303.054
